platform,hashtag,n_videos,views,likes,comments,shares,saves,avg_er,avg_engagement_velocity,avg_comment_ratio,avg_share_rate,avg_save_rate,avg_like_dislike_ratio,avg_engagement_per_1k,avg_like_rate,avg_dislike_rate,total_engagements
YouTube,#Dance,527,53867138,2159693,230560,202239,220943,0.0518681366223908,13295.24394686907,0.0042851252371916,0.0037295104364326,0.0042400664136622,14.972865373814042,51.86813662239089,0.0396134288425047,0.0034381328273244,2813435
YouTube,#Cover,540,50629720,1965209,213956,190695,195633,0.050489324074074,13221.133277777775,0.004217274074074,0.0037168037037037,0.0039420851851851,15.035966274074074,50.48932407407408,0.0386131703703703,0.0033199833333333,2565493
YouTube,#Relatable,494,49990254,1919671,212941,180176,188843,0.0512433218623481,13815.723886639676,0.004302927125506,0.0037286720647773,0.0039428825910931,15.855846058704454,51.24332186234818,0.0392687955465587,0.003305971659919,2501631
YouTube,#Lifestyle,498,48619535,1893749,208735,183958,204611,0.0506739016064257,13304.941927710845,0.0042344277108433,0.0037130240963855,0.004010532128514,15.623591345381527,50.6739016064257,0.0387159738955823,0.0032404959839357,2491053
YouTube,#Comedy,499,46067227,1812404,199751,170773,185856,0.0512091482965931,13521.023547094188,0.0043077314629258,0.0037083186372745,0.0038921683366733,14.704297833667336,51.20914829659319,0.0393009779559118,0.0033894889779559,2368784
YouTube,#StudyWithMe,406,44135771,1706535,190097,167182,168531,0.0502518103448275,14970.705024630544,0.0042255492610837,0.0037478004926108,0.0039681231527093,14.769131325123151,50.25181034482759,0.0383102807881773,0.0033454113300492,2232345
YouTube,#DanceChallenge,506,43940191,1700845,181447,164100,184957,0.0507891482213438,10967.958675889327,0.0042181541501976,0.0036865118577075,0.004073304347826,15.113850187747037,50.78914822134388,0.0388111561264822,0.0032809387351778,2231349
YouTube,#MorningRoutine,456,43348866,1793472,192308,169535,178730,0.0517008135964912,13162.806578947368,0.0042974166666666,0.0037729649122807,0.0040811030701754,15.855032440789474,51.70081359649123,0.0395493267543859,0.0033191864035087,2334045
YouTube,#Football,425,42427647,1681323,171767,159042,183863,0.0501703694117647,15222.248894117649,0.0041341576470588,0.0036886611764705,0.0039126752941176,15.498120948235297,50.1703694117647,0.0384348423529411,0.0032329270588235,2195995
YouTube,#AI,406,39510022,1473607,161757,145619,146675,0.0493231650246305,14003.113054187192,0.0041042684729064,0.0036624852216748,0.0038671354679802,15.235947620689656,49.32316502463055,0.0376893054187192,0.003149263546798,1927658
YouTube,#Travel,370,39407324,1455723,161652,141574,148225,0.0502400864864864,14278.437216216214,0.0042276567567567,0.0037061081081081,0.0039272189189189,15.916021272972973,50.24008648648648,0.0383791756756756,0.0031637108108108,1907174
YouTube,#OOTD,388,39339345,1435941,158224,140786,152333,0.0497774845360824,14642.85618556701,0.0041858505154639,0.0037024896907216,0.0039641597938144,15.413304278350516,49.77748453608248,0.0379250128865979,0.003254456185567,1887284
YouTube,#Sports,394,39317870,1525149,164891,144029,152217,0.0498067081218274,13425.272614213198,0.0041503147208121,0.0037548071065989,0.0037384771573604,15.758878340101525,49.80670812182741,0.0381630279187817,0.0031671040609137,1986286
YouTube,#Fashion,380,39060363,1501149,159204,145606,150760,0.0501729210526315,14517.434736842106,0.0040587815789473,0.003753297368421,0.0038718263157894,15.606241236842104,50.17292105263158,0.0384890289473684,0.0032380368421052,1956719
YouTube,#DogTok,360,38575954,1562358,166864,148798,154155,0.0512247666666666,13784.869111111111,0.0042749583333333,0.0037861111111111,0.0040564027777777,14.88861602222222,51.22476666666667,0.03910735,0.0033536,2032175
YouTube,#CatTok,368,38495492,1483843,161383,141283,144091,0.0507755733695652,15194.87125,0.004228741847826,0.0037219103260869,0.0040216820652173,15.626189945652174,50.775573369565215,0.03880325,0.0032494402173913,1930600
YouTube,#Wanderlust,378,37893524,1503271,160030,142659,152617,0.050555037037037,13851.94119047619,0.0041570502645502,0.0037143174603174,0.0039950476190476,15.79234958994709,50.55503703703704,0.0386886164021164,0.0032424814814814,1958577
YouTube,#Coding,364,37861748,1445007,164039,138913,142098,0.051046195054945,13643.421785714288,0.0042842774725274,0.0037410494505494,0.0039561208791208,15.272198458791207,51.04619505494505,0.0390647664835164,0.0033209423076923,1890057
YouTube,#BookTok,380,37840759,1462168,159801,143754,153736,0.0505323447368421,14021.194710526315,0.0042042710526315,0.0037750842105263,0.0040148921052631,15.194274863157895,50.532344736842106,0.0385380763157894,0.0033365105263157,1919459
YouTube,#Pets,378,37220571,1419782,155704,136886,157766,0.0503051878306878,14501.057645502646,0.0041662751322751,0.0037205529100529,0.0039928756613756,15.61448846031746,50.30518783068784,0.0384254656084656,0.0032415449735449,1870138
YouTube,#Workout,350,37201520,1450790,155991,140812,151539,0.0508521999999999,14828.790457142855,0.0042021342857142,0.0037649685714285,0.0039805142857142,16.294435214285713,50.8522,0.0389046028571428,0.0031984428571428,1899132
YouTube,#HiddenGems,379,36439090,1412951,158496,137563,152843,0.0510043113456464,12087.440474934036,0.0042613931398416,0.0037768680738786,0.0041697097625329,15.892610308707123,51.00431134564644,0.0387964089709762,0.0031363218997361,1861853
YouTube,#StreetFood,404,36021136,1392033,151474,134749,153768,0.0511293267326732,12669.15391089109,0.0042379381188118,0.0037407574257425,0.0040895148514851,15.641685027227725,51.12932673267326,0.0390611386138613,0.0032020495049504,1832024
YouTube,#LearnOnTikTok,359,35768706,1452942,161237,137780,155377,0.0527586824512534,11871.042757660169,0.0044096740947075,0.0038181058495821,0.0042000306406685,15.940862027855154,52.75868245125348,0.0403308607242339,0.0032414735376044,1907336
YouTube,#GameClip,319,35156833,1356247,148253,132460,137043,0.0511350062695924,14458.415454545457,0.004220053291536,0.003797843260188,0.004048855799373,14.984530181818185,51.13500626959248,0.0390682946708463,0.0033174670846394,1774003
YouTube,#Recipe,398,34939057,1326617,141903,132669,142500,0.0500746507537688,11876.84432160804,0.0041408015075376,0.0037434748743718,0.004042444723618,15.357414708542716,50.07465075376884,0.0381479346733668,0.0032474396984924,1743689
YouTube,#Tech,376,33935484,1317808,144021,126223,138003,0.0509536968085106,12512.896170212764,0.0042624627659574,0.0037549654255319,0.0041006303191489,15.522613281914891,50.95369680851064,0.0388356409574468,0.0032756117021276,1726055
YouTube,#Foodie,363,33565560,1310850,146445,122606,138678,0.0509023691460055,12654.35085399449,0.0042990881542699,0.0037041680440771,0.00409191184573,14.786639479338843,50.90236914600551,0.0388072011019283,0.0033490468319559,1718579
YouTube,#Makeup,338,33065475,1274247,136430,121331,146453,0.051350399408284,14221.954289940828,0.0042140207100591,0.0037592071005917,0.0042026775147928,15.21292976331361,51.35039940828403,0.0391744526627218,0.0034081804733727,1678461
YouTube,#Skincare,296,33026839,1336209,149365,134272,131288,0.0512920236486486,14775.855574324323,0.0042511993243243,0.0038800506756756,0.0040125101351351,15.059856081081085,51.29202364864865,0.0391482162162162,0.003341375,1751134
YouTube,#Motivation,347,29342760,1224648,131436,115480,118664,0.0513214265129682,10526.083602305476,0.0041825014409221,0.0037430979827089,0.0039874005763688,14.88355490778098,51.3214265129683,0.0394084524495677,0.0033782766570605,1590228
YouTube,#Esports,306,29291066,1172847,128313,108053,111720,0.0520598758169934,12914.886307189545,0.0043521176470588,0.003737408496732,0.0040116241830065,15.85750116013072,52.05987581699346,0.0399587189542483,0.0033400261437908,1520933
YouTube,#Gaming,294,28229277,1047703,113109,101528,108016,0.0500188333333333,13209.265714285715,0.0041462789115646,0.0036763299319727,0.004026081632653,15.766372187074827,50.01883333333333,0.0381701632653061,0.0032641734693877,1370356
YouTube,#Streamer,286,26276852,1060622,111847,100032,114928,0.0517143461538461,11069.796433566433,0.0041691118881118,0.0037962132867132,0.0042838881118881,15.8954618006993,51.71434615384615,0.0394651433566433,0.0031999895104895,1387429
YouTube,#Beauty,288,24769612,913494,104134,87134,96478,0.049294625,11229.686458333334,0.0041716666666666,0.0035889479166666,0.00388996875,16.099786430555557,49.294625,0.0376440069444444,0.0031021701388888,1201240
YouTube,#Crafts,35,4348818,152466,14969,14297,20097,0.0489705714285714,12933.123428571427,0.0036700285714285,0.0035263142857142,0.0039997142857142,15.080029800000002,48.97057142857143,0.0377746285714285,0.0032649714285714,201829
YouTube,#DIY,26,2760492,122394,12845,12735,10167,0.0536376923076923,15458.08692307692,0.0044447692307692,0.0038918461538461,0.004029423076923,15.933149846153846,53.63769230769231,0.0412716153846153,0.0033856538461538,158141
YouTube,#LifeHacks,31,2435911,96785,10526,9340,10245,0.0535185161290322,12360.546129032258,0.0045189032258064,0.0038857741935483,0.0042734193548387,13.785286516129032,53.51851612903226,0.0408403870967741,0.003712193548387,126896
