trend_label,platform,region,language,category,traffic_source,device_brand,creator_tier,title_len,text_richness,like_rate,comment_rate,share_rate,like_rate_log,comment_rate_log,share_rate_log,views_per_day,likes_per_day,rel_like,rel_share,rel_combo,like_hashtag_interaction,share_hashtag_interaction,platform_cat,region_cat,language_cat,category_cat,traffic_source_cat,device_brand_cat,creator_tier_cat,richness_traffic_interaction,weekend_hashtag_boost
stable,tiktok,Americas,pt,News,external,samsung,nano,3,2.9999970000030003,0.1503660058791679,0.1080326063720875,0.0219174384381716,0.14008015772116972,0.10258601602574602,0.02168070421121201,0.12134004025224679,0.0182454172059552,-0.23071072734599238,-0.5837778708829363,-0.07726761147541975,0.1503660058791679,0.0219174384381716,0,1,9,7,0,5,3,2.9999970000030003,0
declining,youtube,Europe,hi,Food,profile,samsung,nano,3,2.9999970000030003,0.12977205104854725,0.3119709875482388,0.0069681786827282,0.12201588763927912,0.2715305771281898,0.006944013120674439,0.1036680240617016,0.013453212110643542,-0.3277705955768508,-0.8715889034040454,-0.24213318703766912,0.12977205104854725,0.0069681786827282,1,3,5,3,3,5,3,11.999988000012001,0
stable,youtube,Asia,ar,Beauty,hashtag,samsung,nano,3,2.9999970000030003,0.2854589653091634,0.0576270590523649,0.0839176669873556,0.2511158260234659,0.05602777512494186,0.08058194716918797,0.0766375174882609,0.021876866446075904,0.36628044923886743,0.4687397649397949,-0.03946156633223212,0.2854589653091634,0.0839176669873556,1,2,0,0,2,5,3,8.999991000009,0
stable,tiktok,Europe,en,Comedy,feed,google,micro,3,2.9999970000030003,0.2972307048787766,0.1192646249047881,0.0469399716328708,0.2602317652902089,0.11267188475429575,0.04587159656077928,0.08183483587232876,0.024323825949985882,0.47683169854721996,-0.15075792098009883,-0.03627708472851607,0.2972307048787766,0.0469399716328708,0,3,2,1,1,1,1,5.999994000006001,0
stable,youtube,Americas,en,Beauty,feed,apple,nano,3,2.9999970000030003,0.2088135054567133,0.0452726037247029,0.1681708869995143,0.18963930452873246,0.044277716205794515,0.15543918106675483,0.11189016424713265,0.023364177422581442,0.017189272704952057,2.2552165832116193,0.2181633794013946,0.2088135054567133,0.1681708869995143,1,1,2,0,1,0,3,5.999994000006001,0
stable,youtube,Americas,ar,Gaming,search,samsung,micro,2,1.9999980000020001,0.200721164247934,0.0739261269780247,0.011020705079026,0.18292234649028893,0.0713212106465439,0.01096041962983876,0.12295767760315623,0.0246802082017375,-0.05543902965209163,-0.8111382335875849,-0.04255269428518607,0.200721164247934,0.011020705079026,1,1,0,4,4,5,1,9.999990000010001,0
rising,tiktok,Oceania,en,Education,feed,apple,mid,3,2.9999970000030003,0.3357833353284968,0.0886903242512216,0.0151602550522778,0.28951788780748694,0.08497543643207092,0.015046486781961983,0.14806425670244766,0.04971750995849911,0.7494705241862464,-0.6908897331983732,0.3102864136458251,0.3357833353284968,0.0151602550522778,0,5,2,2,1,0,2,5.999994000006001,0
rising,tiktok,MENA,pt,Gaming,search,apple,nano,3,2.9999970000030003,0.14723041672440187,0.0541281037685143,0.1826652807460278,0.1373507043928356,0.05271398331105107,0.1677706039177936,0.09136492095105653,0.013451695385623325,-0.31964284794481285,2.0475272459830465,-0.0012666940784744896,0.14723041672440187,0.1826652807460278,0,4,9,4,4,0,3,14.999985000015002,0
stable,youtube,MENA,de,Comedy,feed,apple,nano,2,1.9999980000020001,0.09193014150357977,0.0532426408461009,0.0539676924397674,0.08794690229428499,0.05187363476129101,0.05256179731519166,0.10198320654902478,0.009375330609045168,-0.5185480422101261,0.05803194952308192,-0.2210271450120499,0.09193014150357977,0.0539676924397674,1,4,1,1,1,0,3,3.9999960000040002,0
stable,tiktok,Asia,ru,Gaming,feed,oppo,mid,3,2.9999970000030003,0.1090159842009062,0.0276739501634767,0.0413627981942309,0.10347312143019197,0.027297947622539603,0.04053023822998918,0.13710855384452025,0.014947023939728674,-0.49144278873352604,-0.32472310407719057,-0.05344378402884742,0.1090159842009062,0.0413627981942309,0,2,10,4,1,3,2,5.999994000006001,0
stable,tiktok,Americas,ar,Travel,feed,samsung,mid,2,1.9999980000020001,0.19667828827069933,0.101200470769625,0.032465113714663,0.17954962543174402,0.09640092179223998,0.031949257112399786,0.118708477174077,0.023347380093828512,0.00019962051608282813,-0.36400224040566515,-0.0001124634504294994,0.19667828827069933,0.032465113714663,0,1,0,10,1,5,2,3.9999960000040002,0
stable,youtube,Asia,en,Tech,feed,samsung,micro,2,1.9999980000020001,0.2690005959339512,0.1248706638375786,0.0166455437880915,0.23822965834124293,0.11766806356963846,0.01650852513349677,0.10432461235483692,0.0280633828940428,0.3073384307057847,-0.7059305648407935,-0.02315518109033928,0.2690005959339512,0.0166455437880915,1,2,2,9,1,5,1,3.9999960000040002,0
rising,tiktok,Americas,ar,Education,feed,apple,nano,3,2.9999970000030003,0.3546487309277786,0.2229618901193198,0.0510091118495431,0.3035421815556916,0.20127569523777186,0.04975076155232583,0.14715752441557717,0.052189229280475466,0.8131655509280336,0.0264846522907116,0.42981536888056393,0.3546487309277786,0.0510091118495431,0,1,0,2,1,0,3,5.999994000006001,0
stable,youtube,Americas,ar,Food,feed,xiaomi,nano,3,2.9999970000030003,0.2739145196429933,0.0958619739986164,0.0320901978630633,0.242094458857325,0.09154124446255393,0.0315860642702236,0.14057237508015882,0.03850481459516985,0.377371292706739,-0.3816938898698291,0.21567285899385424,0.2739145196429933,0.0320901978630633,1,1,0,3,1,6,3,5.999994000006001,0
stable,youtube,Americas,hi,Travel,feed,samsung,mid,2,1.9999980000020001,0.19187671320686908,0.1537064241026883,0.0060667480353226,0.17552913477633278,0.14297973719658047,0.00604841941219619,0.129718996070934,0.02489005460659501,-0.024218474540843242,-0.8811353218877814,-0.000139913056433294,0.19187671320686908,0.0060667480353226,1,1,5,10,1,5,2,3.9999960000040002,0
seasonal,tiktok,Americas,tr,Lifestyle,hashtag,samsung,micro,3,2.9999970000030003,0.09965704285495951,0.0553581139084562,0.1084731998837757,0.09499835196831424,0.053880153792783644,0.10298357286159793,0.13583490707897355,0.01353690515597361,-0.4967853757002915,1.0486397699327463,0.0833386423707231,0.09965704285495951,0.1084731998837757,0,1,11,5,2,5,1,8.999991000009,1
stable,tiktok,Americas,en,Beauty,search,apple,micro,3,2.9999970000030003,0.2581368538653598,0.0448237176722872,0.1020615674557022,0.22963193921779465,0.04384817996411801,0.09718257800469304,0.07174584000636532,0.018520245417183293,0.25745601464144285,0.9755725408963027,-0.04849891351018967,0.2581368538653598,0.1020615674557022,0,1,2,0,4,0,1,14.999985000015002,0
seasonal,tiktok,Europe,en,Gaming,feed,other,mid,2,1.9999980000020001,0.1684001955096705,0.0124629867653787,0.0708628392611277,0.15563545886254618,0.012385963049252567,0.06846471534743498,0.14083556368415148,0.023716736459134035,-0.22999955433374294,0.1817629828650842,0.09030624892913103,0.1684001955096705,0.0708628392611277,0,3,2,4,1,4,2,3.9999960000040002,1
stable,tiktok,Europe,en,Music,feed,samsung,nano,3,2.9999970000030003,0.2389937963147576,0.0661026004102028,0.1171190731692572,0.2142995956245894,0.06400956915169728,0.11075311527332742,0.1263801604996238,0.030204074336685212,0.1495268592811121,0.958400721536015,0.22022641882010457,0.2389937963147576,0.1171190731692572,0,3,2,6,1,5,3,5.999994000006001,0
rising,youtube,MENA,ko,Food,search,oppo,macro,2,1.9999980000020001,0.515340289194399,0.1367416485090477,0.0142683874253635,0.4156400270691715,0.1281659668818737,0.014167552025979245,0.12870380025316808,0.06632625364291113,1.5097497203124537,-0.7154149692760896,0.45635959146862554,0.515340289194399,0.0142683874253635,1,4,8,3,4,3,0,9.999990000010001,0
declining,youtube,Americas,en,Comedy,search,xiaomi,nano,2,1.9999980000020001,0.19106258756200742,0.024552132497552,0.0139274481831521,0.17484583942233467,0.02425557319773998,0.013831352493925206,0.08781419051412362,0.016778006464300936,-0.009980041935639956,-0.7279222668272558,-0.20446761879181524,0.19106258756200742,0.0139274481831521,1,1,2,1,4,6,3,9.999990000010001,1
rising,tiktok,MENA,hi,Food,feed,google,mid,2,1.9999980000020001,0.34029512364436704,0.0152993647740122,0.0289840560053441,0.2928898312388627,0.015183509671354832,0.028571962082057856,0.11519823377879417,0.039201397207384185,0.6572669783066641,-0.4219294207995768,0.15913507530641222,0.34029512364436704,0.0289840560053441,0,4,5,3,1,1,2,3.9999960000040002,0
stable,tiktok,Asia,en,Gaming,feed,samsung,nano,2,1.9999980000020001,0.1617741609591558,0.0895081024577039,0.1007845249665025,0.14994828580491845,0.08572631223372211,0.09602313010984874,0.14344339752966961,0.023205435280500893,-0.2453292914620056,0.6453551033624092,0.1509626264326525,0.1617741609591558,0.1007845249665025,0,2,2,4,1,5,3,3.9999960000040002,0
declining,youtube,Americas,es,News,feed,apple,nano,3,2.9999970000030003,0.18914846275257313,0.0198029879218423,0.0297326730667996,0.17323747345679613,0.01960945954425773,0.029299227843179995,0.08156371146766409,0.015427650640512379,-0.032296667922264044,-0.4353697803224346,-0.21608253652758666,0.18914846275257313,0.0297326730667996,1,1,3,7,1,0,3,5.999994000006001,1
stable,youtube,Asia,it,Travel,feed,samsung,micro,3,2.9999970000030003,0.1797660745255286,0.0539680976748946,0.114575257693622,0.165316176897527,0.05256218180045833,0.10847339753406196,0.14390835144307532,0.02586983943037067,-0.11625953428874224,1.037845880592904,0.23588893340753403,0.1797660745255286,0.114575257693622,1,2,6,10,1,5,1,5.999994000006001,0
stable,tiktok,Asia,ko,Tech,feed,apple,nano,2,1.9999980000020001,0.13649028809432343,0.0603310554494944,0.0808229527272769,0.12794481882240705,0.058581175825129034,0.07772274423265216,0.13731359802549167,0.018741972553774185,-0.33665707163292463,0.42779512843066086,0.07259100070797334,0.13649028809432343,0.0808229527272769,0,2,8,9,1,0,3,3.9999960000040002,0
stable,tiktok,Europe,en,Education,feed,apple,micro,3,2.9999970000030003,0.13414067815398817,0.056452139934686,0.1290562693055982,0.12587525242091213,0.05491625646546402,0.12138212387736999,0.1036154827244562,0.013899051119917993,-0.3306559698965125,1.3899691095728544,-0.0012452352760746188,0.13414067815398817,0.1290562693055982,0,3,2,2,1,0,1,5.999994000006001,0
stable,tiktok,Asia,en,Music,hashtag,samsung,nano,2,1.9999980000020001,0.13337534638558157,0.0630510916231209,0.0367991711500886,0.12520021260713696,0.06114316182014595,0.03613824718469775,0.08361767055052922,0.011152535773638833,-0.39372624103768,-0.40400697637560445,-0.3158310874041399,0.13337534638558157,0.0367991711500886,0,2,2,6,2,5,3,5.999994000006001,0
stable,tiktok,Africa,ar,Gaming,feed,samsung,mid,2,1.9999980000020001,0.20913838565869158,0.0869358624465338,0.0560863747361282,0.1899080279926914,0.08336260220923541,0.05456997619679899,0.14781247269994302,0.030913261920695784,0.0010032358580950177,-0.04346238187679247,0.194629632725142,0.20913838565869158,0.0560863747361282,0,0,0,4,1,5,2,3.9999960000040002,0
rising,tiktok,Asia,tr,Lifestyle,share,samsung,mid,2,1.9999980000020001,0.12328481408818662,0.108849438208662,0.066058329593298,0.1162572625569884,0.10332293558854941,0.06396804243925436,0.18955934055376086,0.02336978805885572,-0.38323447390516285,0.2022396503499334,0.30774336165773136,0.12328481408818662,0.066058329593298,0,2,11,5,5,5,2,11.999988000012001,0
declining,youtube,Asia,fr,Comedy,feed,oppo,mid,2,1.9999980000020001,0.06117921575157847,0.1191913538882951,0.028152608603871,0.05938075748050495,0.11260641907865741,0.027763607964364004,0.11051590128706629,0.006761276168824584,-0.7051823033959952,-0.512925421903868,-0.27926740924150445,0.06117921575157847,0.028152608603871,1,2,4,1,1,3,2,3.9999960000040002,0
stable,tiktok,Asia,ja,Travel,search,apple,nano,3,2.9999970000030003,0.1546018323994908,0.0335732513900065,0.0739628538332084,0.14375555068612758,0.033021974638195235,0.07135540874105939,0.1243406431368116,0.019223291270689842,-0.23996772231166852,0.315516302250198,0.02225506309691027,0.1546018323994908,0.0739628538332084,0,2,7,10,4,0,3,14.999985000015002,0
stable,tiktok,Americas,en,Lifestyle,feed,samsung,mid,3,2.9999970000030003,0.16536354221642155,0.1047556840504929,0.0170248720788962,0.15303309174378052,0.09962421011662399,0.016881573088803805,0.13763213780311495,0.022759337829949874,-0.16500611892371014,-0.6784500028948247,0.019789054759190766,0.16536354221642155,0.0170248720788962,0,1,2,5,1,5,2,5.999994000006001,0
rising,tiktok,Americas,fr,Tech,feed,huawei,nano,3,2.9999970000030003,0.3372214132122817,0.022505770466826,0.1468596865842135,0.2905938889057401,0.022256252407233723,0.13702749987451177,0.11879821451759877,0.04006130178673703,0.7049783538943242,1.6408536785381895,0.40109820538758145,0.3372214132122817,0.1468596865842135,0,1,4,9,1,2,3,5.999994000006001,1
rising,youtube,Americas,en,Tech,feed,google,nano,2,1.9999980000020001,0.33260772280731604,0.1569228429063266,0.0270938795312245,0.28713771642240515,0.14576375878501996,0.02673333819146033,0.0918920633888907,0.03056400994786082,0.6816517837618561,-0.5127789884153052,0.03706669035318824,0.33260772280731604,0.0270938795312245,1,1,2,9,1,1,3,3.9999960000040002,1
stable,tiktok,Africa,ja,Gaming,feed,samsung,micro,3,2.9999970000030003,0.19537704027942088,0.1705485081547509,0.1632078053213175,0.17846165049729862,0.15747244934108395,0.1511815379889421,0.13815289512049406,0.02699190375468498,-0.06486265167440163,1.7834314341374755,0.30536602090091314,0.19537704027942088,0.1632078053213175,0,0,7,4,1,5,1,5.999994000006001,0
stable,youtube,Europe,es,Travel,profile,apple,micro,2,1.9999980000020001,0.28649090932172105,0.0558825431319308,0.1498582110035066,0.2519182865053847,0.05437695100300397,0.13963863999417309,0.05796598885073789,0.016606728855594725,0.4717763433546165,1.855372687663805,0.03470554833332615,0.28649090932172105,0.1498582110035066,1,3,3,10,3,0,1,7.9999920000080005,0
stable,tiktok,Americas,en,Comedy,feed,xiaomi,mid,2,1.9999980000020001,0.10864965566014796,0.1584599613754976,0.1467413557788015,0.10314274832298799,0.14709150354683184,0.13692431644955566,0.1511947336160746,0.016427255745019645,-0.4370129916805025,1.8664591342643952,0.2670344715203774,0.10864965566014796,0.1467413557788015,0,1,2,1,1,6,2,3.9999960000040002,0
seasonal,tiktok,Africa,en,Travel,hashtag,samsung,micro,3,2.9999970000030003,0.06807727916242116,0.0462278588740811,0.0714242431889381,0.0658600966865458,0.04519118023115232,0.06898883178846744,0.10853275485185215,0.007388614650319505,-0.6631045353464593,0.32306592721368704,-0.17234165035967297,0.06807727916242116,0.0714242431889381,0,0,2,10,2,5,1,8.999991000009,1
stable,youtube,Africa,hi,Tech,search,samsung,nano,2,1.9999980000020001,0.18198928894603503,0.1925284924132431,0.0431441187306762,0.16719885713746313,0.17607583650393474,0.04223934358779947,0.07834785092173059,0.01425846967970465,-0.07768047987050464,-0.1856060610738955,-0.22267312634193076,0.18198928894603503,0.0431441187306762,1,0,5,9,4,5,3,9.999990000010001,0
stable,youtube,Americas,en,Gaming,external,apple,nano,2,1.9999980000020001,0.21601323901639213,0.1021682821648674,0.0393896341938005,0.19557767083371522,0.09727940521104535,0.03863365066754763,0.05273585546613186,0.011391642951550067,0.01652261462395282,-0.32502415001981966,-0.34653406907259954,0.21601323901639213,0.0393896341938005,1,1,2,4,0,0,3,1.9999980000020001,0
rising,youtube,Asia,ko,Sports,profile,apple,macro,3,2.9999970000030003,0.13540657643164689,0.0634421718514381,0.1002723493111024,0.12699080390932502,0.06151097886376761,0.09555773944172939,0.17156667158246056,0.023231255628760356,-0.331503343221575,0.8394538826329356,0.2875406591221321,0.13540657643164689,0.1002723493111024,1,2,8,8,3,0,0,11.999988000012001,0
stable,youtube,Africa,pt,Music,feed,oppo,nano,2,1.9999980000020001,0.31706984426214496,0.1480852931717601,0.0651850207066806,0.2754094542039613,0.13809559232541968,0.06314851243544431,0.09494676569145001,0.030104756210998007,0.4831359570890555,0.10057159543624754,0.054592325880501905,0.31706984426214496,0.0651850207066806,1,0,9,6,1,3,3,3.9999960000040002,0
stable,youtube,Africa,ru,Tech,feed,apple,mid,2,1.9999980000020001,0.5423132398154346,0.1328648550698861,0.0266410801306883,0.4332833931723856,0.12474969432226848,0.02629238605618816,0.09721058187865238,0.05271858560298218,1.7484269205940017,-0.49711232192323374,0.39493016247543056,0.5423132398154346,0.0266410801306883,1,0,10,9,1,0,2,3.9999960000040002,0
stable,youtube,Africa,en,Tech,profile,google,mid,3,2.9999970000030003,0.04707305742706512,0.0278292441410796,0.0652877604339791,0.04599870732133959,0.027449048314894312,0.06324496025518425,0.0973107263935999,0.004580713411797664,-0.7614305559482166,0.2323704822633064,-0.28454299461216004,0.04707305742706512,0.0652877604339791,1,0,2,9,3,1,2,11.999988000012001,0
seasonal,tiktok,Americas,ru,Travel,feed,other,mid,2,1.9999980000020001,0.14211383825099894,0.0685413392632159,0.0240147055657277,0.13288078949782334,0.06629448409110163,0.023730887418230203,0.14660282477612632,0.020834290127380937,-0.27728431123507535,-0.5295422461364172,0.04958915374290023,0.14211383825099894,0.0240147055657277,0,1,10,10,1,4,2,3.9999960000040002,1
stable,tiktok,Americas,ko,Lifestyle,hashtag,google,nano,2,1.9999980000020001,0.12474698814347793,0.1704195783166713,0.0974352661143281,0.11755811093469504,0.1573622984689255,0.09297588118828491,0.10555146018816516,0.013167226752625954,-0.3700958779902357,0.8401777566410845,-0.0616928673947926,0.12474698814347793,0.0974352661143281,0,1,8,5,2,1,3,5.999994000006001,0
declining,tiktok,Americas,ru,Music,feed,xiaomi,nano,3,2.9999970000030003,0.11739113451727595,0.0917039646286231,0.0237644892308762,0.11099662398358279,0.08773974590747977,0.023486509179860993,0.10133578919281896,0.0118959232605543,-0.4514027703465777,-0.601879058055585,-0.2534366764002354,0.11739113451727595,0.0237644892308762,0,1,10,6,1,6,3,5.999994000006001,1
stable,youtube,MENA,ar,Gaming,hashtag,samsung,nano,3,2.9999970000030003,0.19181227112898946,0.2319741738843189,0.071839896942476,0.17547506557660178,0.20861790213537174,0.069376701627715,0.11473071173953439,0.02200675838701493,-0.11362986395769949,0.1985632483121363,0.0009203376635270773,0.19181227112898946,0.071839896942476,1,4,0,4,2,5,3,8.999991000009,0
rising,tiktok,Americas,en,Food,hashtag,other,mid,2,1.9999980000020001,0.41005483654014097,0.1071686266634394,0.1230115962935654,0.34362859479705576,0.1018059697350773,0.11601400187713706,0.1289948128177586,0.05289494688453224,1.0619464658058293,1.3701028623437976,0.5352270494102496,0.41005483654014097,0.1230115962935654,0,1,2,3,2,4,2,5.999994000006001,0
rising,tiktok,Asia,ar,Sports,search,oppo,nano,2,1.9999980000020001,0.3762411460435581,0.0851547543554639,0.0511849832907337,0.3193559756415483,0.08172260756398868,0.04991808334435966,0.1688077883459503,0.06351243574837723,0.8574781662695434,-0.061024127074812085,0.539665931745421,0.3762411460435581,0.0511849832907337,0,2,0,8,4,3,3,9.999990000010001,1
rising,youtube,Asia,en,Education,hashtag,samsung,macro,2,1.9999980000020001,0.32645586554950673,0.13419636868446,0.113692978978609,0.2825106226885966,0.12592435493904158,0.10768150116665062,0.12588982883741745,0.04109747303701441,0.6350727723426022,1.0205998018024547,0.3598961820505688,0.32645586554950673,0.113692978978609,1,2,2,2,2,5,0,5.999994000006001,0
stable,tiktok,MENA,es,Lifestyle,external,huawei,nano,2,1.9999980000020001,0.15984996906340404,0.0421822474098267,0.0579761288353428,0.14829065973921352,0.04131682958262243,0.056357770644086584,0.1316093491574891,0.02103775039128723,-0.14212937578687854,0.17025145829968666,0.06414314243207328,0.15984996906340404,0.0579761288353428,0,4,3,5,0,2,3,1.9999980000020001,0
rising,tiktok,Europe,en,Beauty,hashtag,other,mid,2,1.9999980000020001,0.13635689825433545,0.0534878425282428,0.1595795625482433,0.1278274419561203,0.05210641411791415,0.14805749333971707,0.1388883135433314,0.01893837963855098,-0.3289058412144014,2.201589588230438,0.25828185336866283,0.13635689825433545,0.1595795625482433,0,3,2,0,2,4,2,5.999994000006001,0
stable,youtube,Asia,es,Education,feed,google,mid,3,2.9999970000030003,0.2875555223786765,0.2273316861844616,0.0443880554940673,0.2527454768035463,0.2048424520868473,0.04343112106168374,0.08789750514030432,0.025275413006416742,0.4402387876250639,-0.21110583392999394,-0.023111951961756996,0.2875555223786765,0.0443880554940673,1,2,3,2,1,1,2,5.999994000006001,0
seasonal,tiktok,Europe,ja,Music,feed,samsung,nano,2,1.9999980000020001,0.25917355132670983,0.1538554561064156,0.0323728686759203,0.23045559411376648,0.14310890556706943,0.03185990866027835,0.13370047761693413,0.03465162759807083,0.24658826295034064,-0.4586665969529413,0.14699810876460878,0.25917355132670983,0.0323728686759203,0,3,7,6,1,5,3,3.9999960000040002,1
declining,youtube,Asia,fr,Tech,feed,apple,micro,3,2.9999970000030003,0.06317231415273325,0.0589138417558746,0.0309541445907001,0.061257187965671756,0.05724370519419699,0.030484727412051525,0.09861341751155141,0.0062296377907174755,-0.6929798832598891,-0.45316204967599555,-0.3283696478142635,0.06317231415273325,0.0309541445907001,1,2,4,9,1,0,1,5.999994000006001,0
rising,tiktok,Africa,it,Music,feed,apple,nano,2,1.9999980000020001,0.47152717500060853,0.274649589903623,0.1413664131332538,0.3863007560713998,0.2426713093891672,0.13222615266092982,0.08352694585553429,0.03938522481571204,1.205628186191061,1.3867841253088657,0.3398726529898674,0.47152717500060853,0.1413664131332538,0,0,6,6,1,0,3,3.9999960000040002,0
stable,tiktok,Africa,en,Sports,feed,apple,nano,2,1.9999980000020001,0.21773766428249272,0.0262873816957105,0.0616408846550293,0.19699476372710775,0.02594780664676945,0.05981571559178433,0.07852817138861024,0.017098540618541967,0.08076301513290741,0.22116681683878994,-0.14556706411546283,0.21773766428249272,0.0616408846550293,0,0,2,8,1,0,3,3.9999960000040002,0
stable,tiktok,Americas,hi,Sports,feed,samsung,nano,2,1.9999980000020001,0.2807025583977996,0.1160983459773788,0.0385761154451103,0.24740880110370664,0.1098389837121038,0.03785065528815375,0.13874605768329787,0.038946373359324195,0.43819897735622343,-0.28695708600821757,0.25283696996642396,0.2807025583977996,0.0385761154451103,0,1,5,8,1,5,3,3.9999960000040002,0
stable,tiktok,Europe,ar,Beauty,feed,samsung,nano,2,1.9999980000020001,0.12920082809454042,0.1615570930365465,0.1004905958709511,0.12151015074313838,0.1497614265932864,0.09575607662387972,0.12421934018890549,0.016049241617770365,-0.36412490036373585,1.016115508728288,0.05135121409054808,0.12920082809454042,0.1004905958709511,0,3,0,0,1,5,3,3.9999960000040002,0
stable,tiktok,Americas,fr,Comedy,feed,apple,nano,2,1.9999980000020001,0.1896467026986856,0.0966246690843458,0.0536384658266784,0.1736563745548264,0.09223697970810325,0.05224937972761198,0.10735296576663718,0.020359135982576937,-0.017316627053172606,0.047791116340772107,-0.024229424558739245,0.1896467026986856,0.0536384658266784,0,1,4,1,1,0,3,3.9999960000040002,0
rising,tiktok,MENA,ja,Tech,hashtag,xiaomi,micro,3,2.9999970000030003,0.24026185255296773,0.0364530678359853,0.0328801099378053,0.2153225287370846,0.03580437240495783,0.03235112332244038,0.1574827102504909,0.037837087709857,0.20090878182459188,-0.37613207283063865,0.27724174969810816,0.24026185255296773,0.0328801099378053,0,4,7,9,2,6,1,8.999991000009,0
declining,youtube,Americas,ru,News,feed,samsung,nano,3,2.9999970000030003,0.017104531103716444,0.0534383282405701,0.0175525484524796,0.016959895563997695,0.052059412672520594,0.017400281671814528,0.0915038410105599,0.0015651302946754866,-0.9124867752456749,-0.6666653360794772,-0.4499953204341595,0.017104531103716444,0.0175525484524796,1,1,10,7,1,5,3,5.999994000006001,0
